id,gender,birthdate,maiden_name,lname,fname,address,city,state,zip,phone,email,cc_type,cc_number,cc_cvc,cc_expiredate
1*********6,m,1958/04/21,Smith,White,Johnson,1************d,Menlo Park,CA,94025,4**********3,j****e@domain.com,m,5*****************6,123,2010/06/25
5*********5,f,1944/12/22,Amaker,Borden,Ashley,4*****************t,Goff,KS,66428,7**********6,a*****n@domain.com,m,5*****************0,713,2011/02/01
2*********5,f,1958/04/21,Pinson,Green,Marjorie,3***************1,Oakland,CA,94618,4**********0,m****n@domain.com,v,4*****************7,258,2009/02/25
5*********7,m,1962/03/25,Hall,Munsch,Jerome,2************y,Centennial,CO,80112,3**********3,j*****h@domain.com,m,5*****************1,612,2010/03/01
4*********0,m,1964/09/06,Porter,Aragon,Robert,3******************e,Kansas City,MO,66215,8**********6,r*****n@domain.com,v,4*****************5,911,2011/12/01
5*********8,f,1986/05/27,Nicholson,Russell,Jacki,3****************t,Kansas City,MO,66215,9**********6,j******l@domain.com,a,3*************4,232,2010/01/01
5*********4,f,1963/09/23,Mcclain,Venson,Lillian,5*************t,Wood River,NE,68883,3**********9,l*****n@domain.com,d,3************8,471,2011/12/01
6*********5,m,1969/10/02,Kings,Conley,Thomas,5**************t,Morrisville,NC,27560,9**********9,t*****y@domain.com,v,4*****************1,731,2010/10/01
6*********1,M,1978/01/12,Kurtz,Jackson,Charles,1***************t,New York,NY,10011,2**********5,c******n@domain.com,m,5*****************6,892,2011/11/01
4*********6,f,1980/04/09,Linden,Davis,Susan,4*****************t,Jasper,AL,35501,2**********6,s****s@domain.com,v,4*****************3,33,2011/04/01
4*********0,f,1975/01/04,Kingdon,Watson,Gail,3**************t,Houston,TX,77002,7**********4,g*****n@domain.com,v,4*****************2,694,2011/09/01
6*********0,f,1953/07/11,Onwunli,Garrison,Lisa,5****************e,Lake Charles,LA,70629,3**********2,l*******n@domain.com,v,4*****************5,680,2011/06/01
7*********7,f,1968/02/16,Simpson,Renfro,Julie,4********************e,Kaunakakai,HI,96748,8**********8,j*****o@domain.com,m,5*****************4,238,2009/03/01
5*********1,m,1952/01/20,Mcafee,Heard,James,2*****************d,San Jose,CA,95129,4**********1,j****d@domain.com,v,4*****************9,311,2010/09/01
6*********1,m,1980/01/16,Frazier,Reyes,Danny,3***************t,San Luis Obispo,CA,93401,8**********4,d****s@domain.com,v,4*****************2,713,2009/11/01
4*********5,m,1982/06/14,Feusier,Hall,Mark,4****************t,Houston,TX,77077,2**********7,m***l@domain.com,v,4*****************5,953,2010/05/01
4*********2,m,1961/03/10,Vasquez,Mceachern,Monte,4****************d,Minneapolis,MN,55401,9**********7,m********n@domain.com,m,5*****************0,889,2009/03/01
4*********4,m,1955/09/20,Pennebaker,Diaz,Christopher,5**************l,Dallas,TX,75247,9**********6,c***z@domain.com,m,5*****************8,584,2011/08/01
0*********4,m,1967/05/28,Simpson,Lowe,Tim,1*****************t,East Hartford,CT,6108,8**********3,t***e@domain.com,m,5*****************8,616,2011/10/01
5*********2,f,1958/10/24,Dickerson,Oyola,Lynette,2******************t,Pascagoula,MS,39567,2**********6,l****a@domain.com,v,4*****************8,991,2011/07/01
4*********0,f,1953/07/17,Kroeger,Morrison,Adriane,4*****************e,Birmingham,AL,35209,2**********7,a*******n@domain.com,v,4*****************8,322,2009/12/01
4*********6,m,1950/06/09,Parmer,Santos,Thomas,1****************t,Fort Worth,TX,76104,9**********3,t*****s@domain.com,v,4*****************0,767,2011/09/01
3*********6,m,1965/02/10,Spain,Faulkner,Victor,1***************t,Toledo,OH,43602,4**********2,v*******r@domain.com,m,5*****************4,276,2010/02/01
3*********1,m,1977/08/19,Miley,Iorio,Albert,4***********************d,Springfield,IL,62701,2**********9,a****o@domain.com,v,4*****************5,347,2010/02/01
4*********2,f,1964/06/20,Summers,Kaminski,Teresa,1***************e,Houston,TX,77006,2**********8,t*******i@domain.com,m,5*****************8,721,2009/10/01
6*********2,m,1979/08/18,Banas,Edwards,Rick,4********************y,Gardena,CA,90248,6**********0,r******s@domain.com,m,5*****************8,701,2010/08/01
6*********5,f,1976/05/24,Robbins,Peacock,Stacey,3***************t,Raleigh,NC,27612,9**********9,s******k@domain.com,m,5*****************4,436,2011/02/01
2*********7,f,1950/03/26,Sanford,Nelson,Agnes,4*******************e,Avoca,PA,18641,5**********4,a*****n@domain.com,m,5*****************6,496,2010/02/01
4*********4,f,1984/09/21,Garcia,Townsend,Mireille,2**************t,Paducah,KY,42003,2**********4,m*******d@domain.com,v,4*****************8,710,2011/03/01
1*********8,f,1952/11/19,Stockdale,Zwick,Rebecca,7******************e,Piscataway,NJ,8854,9**********3,r****k@domain.com,v,5*****************6,173,2011/02/01
