Name,Name_pseudonym,Name_token,IC Number,IC_token,Home Address,Generalized_Home_Address,Phone Number,Phone_token,Email,Email_token,Age,Generalized_Age,Parent Salary (RM),Generalized_Salary,CGPA,CGPA_noisy,Health Status,Health_Status_pseudonym
Ali bin Ahmad,Mary Ware,7e350079b27d99341fe80b542443d8be4cb28af27620eafb0cfc0de8cc1b2e8a,900101-01-1234,129a1ff064538293a5f9e7d9a9b7632cb70d23ba45d2e26f7685de976f85543c,"123, Jalan Bukit, Kuala Lumpur",Group 0,012-3456789,7c1b9d93862b8abe7a418176e532f29af67b527256a8b6cc8cb2cf6a13661cd3,ali.ahmad@example.com,662a1e555921cd4693de37bd22ed6a0cea698608499d144966dc0205c18a99f5,34,30-39,5000,3000-5999 RM,3.5,5.4950560520909875,Good,Strategy yard nation mean family play.
Siti binti Aminah,Douglas Graham,8b01af3f7ce216b4c469c1bf79dc903455f16ce21700e42814d96581e476d2e7,920202-02-2345,3e8ffa797b8d04d9ee5ab5af3e0c323ea85dff35d2f8e45594e5eb38ac52c11c,"45, Jalan Mawar, Johor Bahru",Group 0,013-4567890,c1da0a1c596ef5682c89136ed91516935db62158231192f54516deceb7c5a70f,siti.aminah@example.com,9b0a90e08f043693e83235f5f3bb6b4b1e6597c87e08541217ec7e2c0a406a28,32,30-39,4500,3000-5999 RM,3.8,5.9353931388509835,Excellent,Exist program such instead small require his.
Lim Wei Chong,Amy Love,ced13ec1157be7d2509dec8b1a84124937eddf98b64bc6c40308a94f18cea300,940303-03-3456,ee89b090a073d9b4b9b0be8472718af5290d1761646e6a5fec5bb8f951e43c26,"67, Jalan Kenanga, Penang",Group 2,014-5678901,400fe0a7da74aa4c2d0216ab6b7a1f59077c8d15ea91380ad0af316cedae6e04,lim.weichong@example.com,f8e67e03630c1fee39d1a8556115e6455fd60f90af3408a879075beb8f590d22,30,30-39,6000,6000+ RM,3.4,3.2053323242901794,Good,Soon north action plant everyone sister sure after.
Preeti Kaur,Julia Johnson,ffad5a7df0b1e4cbf4a480f23d08fd8f9f2b172b4a5e66ea2e312bc5cb14be15,950404-04-4567,67165760e32b30d5eb82c27251a65d580f8ac8e17d958cfa0adb20cfd1e8eeaf,"89, Jalan Teratai, Ipoh",Group 0,015-6789012,22341f4ea913ed4886c38ad8b08c288049776c3df40ba261adc813faaf4b959d,preeti.kaur@example.com,c92be84d965bcd6797fc24fae4dd55ef3da0d86ae228bd1f32bfd0dca458841a,29,20-29,5500,3000-5999 RM,3.6,3.233375876213971,Fair,Lawyer avoid talk democratic dog prepare.
Muhammad Hafiz,Emily Ortiz,45705226471797d115d157d85c98584f6b64968690451cd1dd5e95bc94123281,960505-05-5678,0199faf1eacd935848b45bc58db811ae4835b726beaf313d21d08483c9d90a6c,"101, Jalan Dahlia, Shah Alam",Group 0,016-7890123,47f1101b0631d21e85ac32d9d69f5453055f5321070b310662ac93a1bcf83c15,muhammad.hafiz@example.com,0e02e500c9ca11eb1bf1be831548e75fdbbc5adae423223b1c94a2b2d152fdf5,28,20-29,5200,3000-5999 RM,3.7,3.771030745260739,Good,Out need list summer.
Chong Mei Ling,Charles Mccall,326d44b452b7add15a9673f3efdc3d6977c050bfbeba2489f0698d66632ccc6e,970606-06-6789,6d22b5264551057f09138a40e007f664a77d6a6124eba8021e1ab519498509f6,"123, Jalan Melati, Melaka",Group 0,017-8901234,79a7326126429be35f3253d218a46094be460f15312134f23386cc6ead5ec144,chong.mei@example.com,4b4d063259e19f16815e76fdeb996f49ce7f582d5d9c7a76c89d6a7f3adac463,27,20-29,4800,3000-5999 RM,3.9,5.252099836054635,Excellent,Tend air enjoy choose participant if apply.
Arun Raj,Melissa Black,196bbbc5a1a3d4fe524b92d98657c15656ebae03c4c8b1b2ff3bb215a5736016,980707-07-7890,8e0c35f26d4b381c5c7f50279c2a0e58b1285fbbc14be61baee8ca80607a0680,"145, Jalan Mawar, Seremban",Group 0,018-9012345,8b84a205c702f2074f6fc4a0fcd3f32b978de28a3a25adf5b17c38063ff268d3,arun.raj@example.com,7dbc27afabab55b3772e96ec285fc53c4f0e712e7980437b984acb3291fe1d51,26,20-29,5300,3000-5999 RM,3.45,2.4223508337481467,Good,Least class about role project mother accept.
Farah binti Zain,Richard Gordon,b1d8f53aec1a6e19a15822561c26c8b2b0079e11e8408e0b0bbe46cf2e339300,990808-08-8901,276194a2a115e6177a09b8fec79470bd28af150edeb473ce4be4f3e8cf8636ad,"167, Jalan Cempaka, Kuantan",Group 0,019-0123456,da98391c0a98e32f392ee624be3503866a336b655c9a3b231f08676a9d65c13d,farah.zain@example.com,6feaee11c8eba4dbaa0c3d17aefe8a666585304123281cfee0cbd7adec40b9fe,25,20-29,4700,3000-5999 RM,3.65,2.431195799687548,Fair,Light thing wear include ground pretty hotel material.
Tan Ah Heng,Martha Trevino,a7db14322aeef038051b8a6aceb8ea5a86cb72f0228c07b3acee35565eb3f20e,000909-09-9012,e29cd6b7fe36d887d9709fdf4de19cb0ad34cba5beeaaa00101fe8250845f184,"189, Jalan Anggerik, Kota Kinabalu",Group 2,010-2345678,c2ec2dbb9883585d76819c37a19aaa006109ac1ba791dadff08693680c63afdb,tan.ahheng@example.com,83f6ac4c2992d9fe3e2d49a802f460f5df1bf014e47c5967e7ef12d693e6d2c8,24,20-29,6200,6000+ RM,3.75,4.150639157833466,Good,Face not today which.
Anusha Devi,Dr. Robert Kim MD,146acafa3893f9aebd671c7ccecb38bacdfd4f76ac32831cf2560e40f7840e8e,010101-10-0123,8c91675ea0af286e6d93c5474e4f104df7b9c71a8f91ddaaf98a4fd92feb01ce,"201, Jalan Ros, Kuala Terengganu",Group 0,011-3456789,89ea1e2e1d61023bb9cea587a584c09f23dfa1621b9c903bef2592d431cad150,anusha.devi@example.com,fcdbb4a243a096673d6aefd71bae14008eee6037f052f6805b81154e5613ebbf,23,20-29,4900,3000-5999 RM,3.85,1.433110758043489,Excellent,Some note beat certain.
Nur Aisyah,Randall Simmons,47dbe11fb9adb49ebe789cce5ec5799d091ed2f064fd362791e6670246624ebf,020202-11-1234,6169d55ca648821815c060c69155c6f02b455629db3b897180f53c56bca2361c,"223, Jalan Tunku, Alor Setar",Group 0,012-5678901,6a9cda3e13fa1487bcebb3af65b9f91b3d034c2fc8d14db11f5ea3e7aa1c7ac7,nur.aisyah@example.com,48e61aebddd4a341da072d0a79ee96688c56ddfa7f7b374deab1a3f8632261bc,22,20-29,4500,3000-5999 RM,3.55,4.6744850653287955,Good,About challenge peace down avoid writer walk.
Wong Siew Mei,Dr. Timothy Thompson,559b44599df752277afc5269b85a87e47f8367f0b3456def91ed2e4fcbcfa7c0,030303-12-2345,26951ea6dce50ae65edbdb12b5cf1b4473901b764c9fb398b27b57e154b9f3e0,"245, Jalan Taman, Miri",Group 0,013-6789012,27bf2957ef28a008adf40c9c9c573f07ebb1248cb2a0c7549729fcd26431f06b,wong.siewmei@example.com,452c2e0b37f665f09f19d57a8598e6480e0961cbffc82a591190c15e88156289,21,20-29,5800,3000-5999 RM,3.5,4.786511009751682,Fair,Garden market medical day water.
